,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Size,Color,Material,Warranty,Manufacturer,Rating,Shipping_Weight,Delivery_Time,Discount,Eco_Friendly,Shipping_Cost,Shipping_Company,Shipping_Type,Insurance,Return_Policy
36457,2023-09-18,18,September,2023,42,Adults (35-64),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Blue",23,13,35,474,299,773,Small,Blue,Aluminum,Lifetime,Manufacturer D,5,10.94,3,10,True,56.22,UPS,Next Day,Basic,60 Days
36474,2023-06-28,28,June,2023,42,Adults (35-64),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Blue",19,13,35,391,247,638,Extra Large,Green,Carbon Fiber,Lifetime,Manufacturer C,2,7.29,8,27,False,32.88,UPS,Same Day,,30 Days
36475,2023-06-28,28,June,2023,42,Adults (35-64),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Blue",20,13,35,412,260,672,Small,Green,Steel,2 Years,Manufacturer B,5,10.73,6,21,True,72.79,FedEx,Express,,No Return
36476,2023-10-15,15,October,2023,51,Adults (35-64),F,Germany,Hamburg,Accessories,Helmets,"Sport-100 Helmet, Red",13,13,35,254,169,423,Extra Large,Blue,Plastic,2 Years,Manufacturer B,1,10.71,3,3,False,37.74,FedEx,Same Day,Basic,7 Days
36478,2023-05-07,7,May,2023,43,Adults (35-64),F,France,Hauts de Seine,Accessories,Helmets,"Sport-100 Helmet, Blue",20,13,35,391,260,651,Large,Red,Aluminum,3 Years,Manufacturer C,4,6.74,6,23,True,99.3,GLS,Express,Premium,30 Days
36479,2023-05-07,7,May,2023,43,Adults (35-64),F,France,Hauts de Seine,Accessories,Helmets,"Sport-100 Helmet, Blue",17,13,35,332,221,553,Large,Red,Plastic,2 Years,Manufacturer B,3,0.92,8,20,False,33.65,Posti,Express,,60 Days
36496,2023-05-17,17,May,2023,50,Adults (35-64),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Black",16,13,35,330,208,538,Medium,Blue,Carbon Fiber,Lifetime,Manufacturer A,1,11.27,1,23,False,44.16,FedEx,Same Day,,No Return
36500,2023-12-04,4,December,2023,24,Youth (<25),F,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Red",12,13,35,176,156,332,Large,Red,Plastic,2 Years,Manufacturer D,3,14.63,4,2,True,82.26,FedEx,Standard,,7 Days
36507,2023-08-15,15,August,2023,24,Youth (<25),M,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Blue",15,13,35,220,195,415,Extra Large,White,Steel,1 Year,Manufacturer A,3,2.95,2,24,False,69.49,Posti,Standard,,No Return
36508,2023-12-16,16,December,2023,24,Youth (<25),M,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Blue",14,13,35,205,182,387,Small,White,Steel,2 Years,Manufacturer D,4,11.03,2,5,True,52.44,GLS,Same Day,,60 Days
36509,2023-12-16,16,December,2023,24,Youth (<25),M,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Blue",11,13,35,161,143,304,Small,Black,Plastic,3 Years,Manufacturer D,4,2.11,7,7,True,93.63,Posti,Standard,Premium,30 Days
36510,2023-12-28,28,December,2023,24,Youth (<25),M,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Blue",19,13,35,278,247,525,Large,Blue,Plastic,2 Years,Manufacturer B,1,9.28,7,21,False,25.21,DHL,Next Day,Basic,60 Days
36521,2023-07-29,29,July,2023,34,Young Adults (25-34),M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Black",8,13,35,173,104,277,Large,Black,Carbon Fiber,1 Year,Manufacturer A,3,6.97,8,27,True,8.05,DHL,Same Day,,30 Days
36531,2023-11-15,15,November,2023,34,Young Adults (25-34),M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Black",21,13,35,455,273,728,Medium,Black,Steel,1 Year,Manufacturer D,1,8.72,5,26,True,21.79,UPS,Express,,7 Days
36533,2023-12-16,16,December,2023,34,Young Adults (25-34),M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Black",1,13,35,22,13,35,Extra Large,White,Plastic,Lifetime,Manufacturer C,4,14.63,8,12,False,39.94,UPS,Same Day,Premium,60 Days
36590,2023-06-21,21,June,2023,34,Young Adults (25-34),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",17,13,35,362,221,583,Small,Black,Plastic,1 Year,Manufacturer D,2,8.31,6,16,True,47.21,UPS,Same Day,,60 Days
36592,2023-12-13,13,December,2023,24,Youth (<25),F,France,Yveline,Accessories,Helmets,"Sport-100 Helmet, Red",20,13,35,272,260,532,Extra Large,Green,Steel,1 Year,Manufacturer C,4,11.41,9,17,True,46.16,GLS,Standard,,60 Days
36643,2023-12-20,20,December,2023,26,Young Adults (25-34),F,Germany,Hessen,Accessories,Helmets,"Sport-100 Helmet, Black",4,13,35,78,52,130,Extra Large,White,Plastic,3 Years,Manufacturer B,4,6.7,8,10,False,8.23,Posti,Standard,Premium,7 Days
36645,2023-02-07,7,February,2023,26,Young Adults (25-34),F,Germany,Hessen,Accessories,Helmets,"Sport-100 Helmet, Black",3,13,35,59,39,98,Large,Green,Carbon Fiber,1 Year,Manufacturer B,4,3.5,7,27,False,8.34,GLS,Express,,30 Days
36648,2023-08-19,19,August,2023,41,Adults (35-64),M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Black",14,13,35,303,182,485,Medium,Green,Carbon Fiber,Lifetime,Manufacturer D,4,3.13,6,27,False,52.65,DHL,Next Day,Premium,No Return
36669,2023-04-02,2,April,2023,35,Adults (35-64),F,Germany,Hessen,Accessories,Helmets,"Sport-100 Helmet, Blue",27,13,35,528,351,879,Extra Large,White,Aluminum,1 Year,Manufacturer D,3,6.93,9,16,True,11.23,FedEx,Express,Premium,No Return
36682,2023-10-01,1,October,2023,19,Youth (<25),M,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Black",27,13,35,471,351,822,Medium,Black,Carbon Fiber,1 Year,Manufacturer C,5,4.61,8,25,True,69.15,FedEx,Standard,Basic,30 Days
36699,2023-04-28,28,April,2023,36,Adults (35-64),F,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Black",11,13,35,238,143,381,Small,Green,Aluminum,1 Year,Manufacturer C,5,5.37,7,7,True,15.91,FedEx,Standard,,60 Days
36701,2023-05-20,20,May,2023,36,Adults (35-64),F,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Black",3,13,35,65,39,104,Large,Blue,Plastic,2 Years,Manufacturer B,1,1.09,5,1,False,47.34,GLS,Next Day,Basic,No Return
36707,2023-08-21,21,August,2023,39,Adults (35-64),F,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Red",13,13,35,222,169,391,Large,Red,Plastic,2 Years,Manufacturer C,4,10.51,3,4,True,21.88,Posti,Express,Premium,30 Days
36711,2023-05-06,6,May,2023,39,Adults (35-64),F,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Red",27,13,35,462,351,813,Small,Blue,Carbon Fiber,3 Years,Manufacturer A,3,3.71,8,14,True,75.68,DHL,Next Day,Premium,No Return
36715,2023-09-18,18,September,2023,29,Young Adults (25-34),M,Australia,South Australia,Accessories,Helmets,"Sport-100 Helmet, Red",19,13,35,298,247,545,Medium,White,Carbon Fiber,3 Years,Manufacturer D,5,7.55,5,23,True,53.01,DHL,Next Day,Premium,No Return
36718,2023-02-09,9,February,2023,29,Young Adults (25-34),M,Australia,South Australia,Accessories,Helmets,"Sport-100 Helmet, Red",18,13,35,283,234,517,Extra Large,Red,Steel,1 Year,Manufacturer D,4,10.74,6,2,False,65.56,FedEx,Express,Premium,60 Days
36725,2023-10-08,8,October,2023,31,Young Adults (25-34),F,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Black",24,13,35,419,312,731,Medium,Green,Carbon Fiber,3 Years,Manufacturer A,4,3.81,4,22,True,12.15,GLS,Standard,Premium,30 Days
36755,2023-06-26,26,June,2023,32,Young Adults (25-34),M,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Black",3,13,35,44,39,83,Small,Red,Steel,2 Years,Manufacturer C,4,14.36,3,26,False,38.58,GLS,Next Day,Premium,No Return
36758,2023-09-13,13,September,2023,31,Young Adults (25-34),F,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Red",2,13,35,29,26,55,Small,White,Steel,2 Years,Manufacturer A,3,11.91,3,13,True,27.58,UPS,Same Day,Premium,30 Days
36760,2023-10-22,22,October,2023,31,Young Adults (25-34),F,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Red",20,13,35,293,260,553,Extra Large,Red,Aluminum,2 Years,Manufacturer B,3,13.08,5,9,True,46.34,FedEx,Standard,Basic,No Return
36764,2023-03-25,25,March,2023,31,Young Adults (25-34),F,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Red",3,13,35,44,39,83,Extra Large,Red,Plastic,3 Years,Manufacturer A,2,13.0,7,26,True,90.17,FedEx,Next Day,Premium,7 Days
36765,2023-03-25,25,March,2023,31,Young Adults (25-34),F,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Red",1,13,35,15,13,28,Extra Large,Red,Plastic,Lifetime,Manufacturer D,2,4.69,7,24,True,11.45,FedEx,Express,,7 Days
36774,2023-02-20,20,February,2023,57,Adults (35-64),F,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Black",10,13,35,175,130,305,Large,Red,Aluminum,2 Years,Manufacturer D,2,10.05,8,11,False,69.35,GLS,Next Day,Premium,No Return
36775,2023-02-20,20,February,2023,57,Adults (35-64),F,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Black",9,13,35,157,117,274,Medium,Red,Steel,2 Years,Manufacturer B,2,7.99,9,3,False,71.75,DHL,Standard,Basic,7 Days
36780,2023-08-30,30,August,2023,36,Adults (35-64),M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Red",29,13,35,628,377,1005,Large,Red,Carbon Fiber,3 Years,Manufacturer C,1,13.34,2,23,True,17.82,Posti,Next Day,,60 Days
36803,2023-05-14,14,May,2023,36,Adults (35-64),M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Red",28,13,35,606,364,970,Large,White,Carbon Fiber,3 Years,Manufacturer C,5,1.16,4,11,True,23.33,GLS,Same Day,Basic,30 Days
36806,2023-06-13,13,June,2023,36,Adults (35-64),M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Red",28,13,35,606,364,970,Large,White,Carbon Fiber,3 Years,Manufacturer D,4,11.06,4,6,False,13.44,Posti,Next Day,Premium,7 Days
36815,2023-11-16,16,November,2023,58,Adults (35-64),M,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Black",2,13,35,29,26,55,Small,White,Plastic,1 Year,Manufacturer C,1,9.2,4,19,True,28.24,DHL,Same Day,Basic,7 Days
36853,2023-03-04,4,March,2023,46,Adults (35-64),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Red",23,13,35,490,299,789,Medium,Black,Carbon Fiber,Lifetime,Manufacturer B,1,2.0,7,21,False,29.2,DHL,Standard,Basic,30 Days
36872,2023-05-16,16,May,2023,45,Adults (35-64),F,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Blue",8,13,35,114,104,218,Small,Blue,Aluminum,1 Year,Manufacturer B,1,13.55,2,2,False,28.72,FedEx,Express,Basic,60 Days
36876,2023-05-27,27,May,2023,41,Adults (35-64),M,France,Hauts de Seine,Accessories,Helmets,"Sport-100 Helmet, Black",29,13,35,567,377,944,Small,Green,Steel,Lifetime,Manufacturer D,5,8.71,6,9,False,52.45,UPS,Express,Basic,30 Days
36898,2023-10-27,27,October,2023,22,Youth (<25),M,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Blue",19,13,35,278,247,525,Large,Black,Steel,Lifetime,Manufacturer B,5,10.58,6,7,False,61.37,UPS,Same Day,Basic,No Return
36900,2023-12-14,14,December,2023,22,Youth (<25),M,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Blue",15,13,35,220,195,415,Medium,Red,Aluminum,Lifetime,Manufacturer D,3,8.17,8,7,False,89.48,DHL,Standard,Basic,60 Days
36920,2023-03-31,31,March,2023,27,Young Adults (25-34),M,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Black",23,13,35,401,299,700,Extra Large,Blue,Aluminum,2 Years,Manufacturer A,2,7.92,3,19,True,55.57,FedEx,Express,Basic,30 Days
36923,2023-04-22,22,April,2023,27,Young Adults (25-34),M,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Black",18,13,35,314,234,548,Medium,White,Aluminum,Lifetime,Manufacturer D,5,9.82,5,26,False,75.93,GLS,Same Day,Basic,No Return
36944,2023-10-29,29,October,2023,31,Young Adults (25-34),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",1,13,35,21,13,34,Extra Large,Red,Steel,Lifetime,Manufacturer A,4,2.0,2,22,True,9.12,FedEx,Express,,60 Days
36945,2023-10-29,29,October,2023,31,Young Adults (25-34),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",1,13,35,21,13,34,Large,Black,Steel,Lifetime,Manufacturer D,1,13.18,9,6,False,35.4,DHL,Next Day,,7 Days
36946,2023-12-02,2,December,2023,31,Young Adults (25-34),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",22,13,35,469,286,755,Medium,White,Plastic,3 Years,Manufacturer D,2,14.97,5,24,False,42.83,DHL,Standard,Premium,7 Days
36956,2023-02-20,20,February,2023,31,Young Adults (25-34),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",20,13,35,426,260,686,Large,Green,Aluminum,2 Years,Manufacturer A,2,4.69,1,4,False,66.78,DHL,Express,Premium,30 Days
36957,2023-02-20,20,February,2023,31,Young Adults (25-34),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",19,13,35,405,247,652,Large,Green,Aluminum,3 Years,Manufacturer D,1,14.77,9,22,False,20.38,GLS,Next Day,,No Return
36960,2023-03-09,9,March,2023,31,Young Adults (25-34),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",21,13,35,447,273,720,Extra Large,Red,Plastic,3 Years,Manufacturer B,3,11.51,9,3,True,58.78,DHL,Same Day,Premium,No Return
36979,2023-09-25,25,September,2023,32,Young Adults (25-34),M,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Black",1,13,35,14,13,27,Large,Black,Steel,1 Year,Manufacturer C,2,2.34,1,22,False,94.04,UPS,Same Day,Premium,60 Days
37011,2023-05-17,17,May,2023,34,Young Adults (25-34),M,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Black",23,13,35,393,299,692,Medium,Black,Plastic,2 Years,Manufacturer B,5,6.84,1,5,False,37.67,UPS,Standard,Premium,No Return
37048,2023-01-14,14,January,2023,38,Adults (35-64),M,Germany,Nordrhein-Westfalen,Accessories,Helmets,"Sport-100 Helmet, Black",10,13,35,175,130,305,Large,Green,Steel,Lifetime,Manufacturer C,1,4.75,3,24,True,74.31,DHL,Next Day,Premium,7 Days
37055,2023-03-09,9,March,2023,37,Adults (35-64),M,Germany,Hamburg,Accessories,Helmets,"Sport-100 Helmet, Red",17,13,35,332,221,553,Small,Green,Plastic,Lifetime,Manufacturer B,5,1.59,2,21,False,61.58,FedEx,Next Day,,60 Days
37059,2023-08-03,3,August,2023,29,Young Adults (25-34),F,Germany,Hessen,Accessories,Helmets,"Sport-100 Helmet, Black",17,13,35,332,221,553,Extra Large,Blue,Plastic,1 Year,Manufacturer B,5,8.53,3,3,True,14.82,UPS,Next Day,Premium,No Return
37062,2023-03-19,19,March,2023,29,Young Adults (25-34),F,Germany,Hessen,Accessories,Helmets,"Sport-100 Helmet, Black",28,13,35,547,364,911,Extra Large,White,Aluminum,2 Years,Manufacturer D,1,9.81,2,2,False,60.16,FedEx,Same Day,Basic,No Return
37066,2023-08-14,14,August,2023,30,Young Adults (25-34),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Blue",25,13,35,515,325,840,Large,Blue,Aluminum,2 Years,Manufacturer C,2,13.8,7,3,False,21.66,GLS,Standard,Premium,7 Days
37071,2023-11-16,16,November,2023,30,Young Adults (25-34),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Blue",21,13,35,433,273,706,Extra Large,White,Plastic,3 Years,Manufacturer B,1,10.22,3,6,False,73.5,GLS,Standard,Premium,No Return
37087,2023-02-21,21,February,2023,31,Young Adults (25-34),F,France,Essonne,Accessories,Helmets,"Sport-100 Helmet, Blue",16,13,35,330,208,538,Extra Large,Blue,Carbon Fiber,Lifetime,Manufacturer D,5,4.63,1,27,True,9.78,GLS,Next Day,,7 Days
37092,2023-04-16,16,April,2023,32,Young Adults (25-34),F,Germany,Hessen,Accessories,Helmets,"Sport-100 Helmet, Red",27,13,35,528,351,879,Large,Red,Plastic,Lifetime,Manufacturer C,5,0.63,4,1,False,39.02,FedEx,Standard,Premium,7 Days
37108,2023-04-27,27,April,2023,34,Young Adults (25-34),M,Germany,Saarland,Accessories,Helmets,"Sport-100 Helmet, Black",22,13,35,345,286,631,Small,Blue,Steel,Lifetime,Manufacturer C,3,12.76,3,4,True,91.89,FedEx,Next Day,Premium,No Return
37124,2023-03-05,5,March,2023,34,Young Adults (25-34),F,Germany,Hamburg,Accessories,Helmets,"Sport-100 Helmet, Blue",16,13,35,313,208,521,Small,Blue,Steel,2 Years,Manufacturer C,5,3.58,2,15,True,42.37,UPS,Next Day,Premium,No Return
37129,2023-12-30,30,December,2023,20,Youth (<25),M,Germany,Nordrhein-Westfalen,Accessories,Helmets,"Sport-100 Helmet, Red",14,13,35,244,182,426,Extra Large,White,Steel,3 Years,Manufacturer D,3,13.27,6,14,False,96.58,GLS,Standard,Premium,No Return
37137,2023-08-16,16,August,2023,21,Youth (<25),F,France,Hauts de Seine,Accessories,Helmets,"Sport-100 Helmet, Red",28,13,35,547,364,911,Small,Black,Plastic,Lifetime,Manufacturer B,5,8.25,6,19,False,59.22,GLS,Next Day,Premium,30 Days
37141,2023-12-23,23,December,2023,22,Youth (<25),M,France,Seine et Marne,Accessories,Helmets,"Sport-100 Helmet, Red",20,13,35,314,260,574,Small,Red,Plastic,3 Years,Manufacturer C,5,6.4,2,20,True,63.33,UPS,Standard,Premium,No Return
37167,2023-03-02,2,March,2023,46,Adults (35-64),M,Germany,Hamburg,Accessories,Helmets,"Sport-100 Helmet, Red",12,13,35,235,156,391,Large,Blue,Plastic,2 Years,Manufacturer C,1,3.12,7,29,False,38.16,FedEx,Standard,Basic,No Return
37169,2023-12-13,13,December,2023,29,Young Adults (25-34),F,Germany,Saarland,Accessories,Helmets,"Sport-100 Helmet, Black",12,13,35,188,156,344,Small,Green,Steel,1 Year,Manufacturer B,4,6.63,8,28,True,14.63,FedEx,Same Day,Basic,7 Days
37198,2023-05-02,2,May,2023,29,Young Adults (25-34),M,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Red",13,13,35,268,169,437,Small,Red,Carbon Fiber,Lifetime,Manufacturer A,5,14.02,9,26,True,44.32,DHL,Same Day,Basic,7 Days
37227,2023-04-24,24,April,2023,33,Young Adults (25-34),F,France,Yveline,Accessories,Helmets,"Sport-100 Helmet, Red",25,13,35,340,325,665,Small,Blue,Carbon Fiber,3 Years,Manufacturer B,4,7.86,5,1,False,85.16,FedEx,Same Day,Premium,No Return
37238,2023-06-13,13,June,2023,18,Youth (<25),F,Germany,Saarland,Accessories,Helmets,"Sport-100 Helmet, Black",24,13,35,377,312,689,Small,Blue,Aluminum,1 Year,Manufacturer D,4,5.63,8,7,True,99.04,UPS,Next Day,Premium,No Return
37245,2023-08-06,6,August,2023,21,Youth (<25),M,Germany,Hessen,Accessories,Helmets,"Sport-100 Helmet, Black",1,13,35,20,13,33,Small,Black,Steel,3 Years,Manufacturer C,4,11.6,4,11,False,33.94,DHL,Express,Basic,7 Days
37251,2023-03-09,9,March,2023,22,Youth (<25),M,Germany,Hamburg,Accessories,Helmets,"Sport-100 Helmet, Red",24,13,35,469,312,781,Large,Black,Steel,2 Years,Manufacturer C,3,1.74,5,20,False,93.12,DHL,Same Day,Basic,60 Days
37252,2023-06-20,20,June,2023,22,Youth (<25),M,Germany,Hamburg,Accessories,Helmets,"Sport-100 Helmet, Red",14,13,35,274,182,456,Medium,Blue,Aluminum,3 Years,Manufacturer C,3,5.75,3,24,False,61.31,DHL,Next Day,,30 Days
37257,2023-09-05,5,September,2023,38,Adults (35-64),M,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Blue",6,13,35,86,78,164,Large,Blue,Plastic,3 Years,Manufacturer A,2,5.02,1,3,True,60.46,UPS,Standard,Basic,60 Days
37289,2023-06-27,27,June,2023,36,Adults (35-64),F,Australia,Queensland,Accessories,Helmets,"Sport-100 Helmet, Blue",4,13,35,66,52,118,Extra Large,Red,Steel,Lifetime,Manufacturer B,2,8.73,6,6,True,13.09,FedEx,Express,,7 Days
37310,2023-09-26,26,September,2023,36,Adults (35-64),M,Germany,Brandenburg,Accessories,Helmets,"Sport-100 Helmet, Red",16,13,35,346,208,554,Small,Blue,Carbon Fiber,3 Years,Manufacturer B,3,1.64,6,18,False,91.34,UPS,Same Day,Basic,30 Days
37313,2023-10-16,16,October,2023,52,Adults (35-64),M,Australia,Queensland,Accessories,Helmets,"Sport-100 Helmet, Black",12,13,35,197,156,353,Small,White,Carbon Fiber,1 Year,Manufacturer D,4,5.2,9,25,False,79.41,DHL,Next Day,Basic,7 Days
37317,2023-08-12,12,August,2023,43,Adults (35-64),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",16,13,35,341,208,549,Small,Red,Aluminum,1 Year,Manufacturer A,5,3.0,3,20,True,17.59,GLS,Express,Basic,No Return
37327,2023-11-30,30,November,2023,43,Adults (35-64),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",11,13,35,234,143,377,Small,Blue,Carbon Fiber,2 Years,Manufacturer B,5,10.85,9,15,False,60.06,FedEx,Express,Basic,No Return
37335,2023-01-15,15,January,2023,43,Adults (35-64),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",28,13,35,596,364,960,Large,Green,Steel,3 Years,Manufacturer C,5,9.92,8,23,False,39.92,GLS,Express,,30 Days
37367,2023-11-14,14,November,2023,59,Adults (35-64),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Red",12,13,35,256,156,412,Large,Black,Aluminum,3 Years,Manufacturer B,5,8.06,5,8,True,48.2,GLS,Express,Premium,7 Days
37374,2023-02-28,28,February,2023,59,Adults (35-64),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Red",14,13,35,298,182,480,Extra Large,Black,Carbon Fiber,3 Years,Manufacturer C,1,3.72,4,6,True,27.87,UPS,Next Day,Premium,60 Days
37376,2023-05-22,22,May,2023,59,Adults (35-64),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Red",13,13,35,277,169,446,Large,Red,Plastic,3 Years,Manufacturer D,4,1.78,4,7,True,33.05,UPS,Same Day,,30 Days
37409,2023-03-17,17,March,2023,65,Seniors (64+),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",17,13,35,362,221,583,Large,Red,Plastic,1 Year,Manufacturer B,3,3.42,7,24,True,18.13,FedEx,Express,Premium,No Return
37412,2023-08-30,30,August,2023,55,Adults (35-64),F,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Black",3,13,35,43,39,82,Medium,Red,Steel,1 Year,Manufacturer A,5,14.45,3,9,False,97.31,DHL,Next Day,,No Return
37433,2023-08-08,8,August,2023,52,Adults (35-64),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",13,13,35,277,169,446,Large,Black,Aluminum,3 Years,Manufacturer A,1,8.12,9,4,True,13.36,FedEx,Express,Premium,60 Days
37446,2023-01-14,14,January,2023,52,Adults (35-64),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",23,13,35,490,299,789,Large,White,Plastic,Lifetime,Manufacturer B,4,6.35,3,5,True,80.84,Posti,Next Day,,60 Days
37489,2023-06-14,14,June,2023,41,Adults (35-64),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Black",15,13,35,309,195,504,Medium,Green,Plastic,2 Years,Manufacturer B,3,2.29,6,23,True,99.29,FedEx,Express,Premium,60 Days
37504,2023-09-27,27,September,2023,44,Adults (35-64),F,Germany,Saarland,Accessories,Helmets,"Sport-100 Helmet, Blue",4,13,35,63,52,115,Medium,Blue,Carbon Fiber,3 Years,Manufacturer D,4,12.83,3,20,True,28.6,UPS,Standard,,7 Days
37534,2023-05-16,16,May,2023,46,Adults (35-64),M,France,Seine et Marne,Accessories,Helmets,"Sport-100 Helmet, Black",27,13,35,424,351,775,Medium,Green,Aluminum,3 Years,Manufacturer C,4,4.06,2,23,False,26.44,FedEx,Express,Premium,30 Days
37539,2023-06-22,22,June,2023,47,Adults (35-64),F,France,Seine Saint Denis,Accessories,Helmets,"Sport-100 Helmet, Blue",8,13,35,126,104,230,Medium,Blue,Aluminum,3 Years,Manufacturer C,3,12.27,7,8,True,62.27,DHL,Next Day,Premium,30 Days
37543,2023-10-11,11,October,2023,24,Youth (<25),F,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Blue",14,13,35,244,182,426,Small,Red,Carbon Fiber,1 Year,Manufacturer C,5,10.8,3,8,True,18.93,UPS,Express,Basic,7 Days
37564,2023-06-05,5,June,2023,63,Adults (35-64),F,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Black",22,13,35,476,286,762,Medium,Blue,Carbon Fiber,2 Years,Manufacturer A,1,4.82,2,20,False,87.53,UPS,Standard,Premium,30 Days
37584,2023-04-22,22,April,2023,32,Young Adults (25-34),M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Blue",11,13,35,238,143,381,Small,Blue,Carbon Fiber,1 Year,Manufacturer B,1,6.57,4,27,True,12.39,FedEx,Express,Basic,No Return
37595,2023-09-07,7,September,2023,26,Young Adults (25-34),M,Germany,Hessen,Accessories,Helmets,"Sport-100 Helmet, Black",19,13,35,371,247,618,Medium,White,Plastic,1 Year,Manufacturer C,3,14.49,1,10,False,33.16,Posti,Standard,Premium,7 Days
37599,2023-06-28,28,June,2023,26,Young Adults (25-34),M,Germany,Hessen,Accessories,Helmets,"Sport-100 Helmet, Black",22,13,35,430,286,716,Small,Black,Plastic,Lifetime,Manufacturer A,1,9.82,6,9,False,69.92,DHL,Same Day,Premium,30 Days
37602,2023-09-13,13,September,2023,42,Adults (35-64),F,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Blue",5,13,35,108,65,173,Large,Red,Steel,Lifetime,Manufacturer A,4,10.92,4,16,False,61.41,UPS,Same Day,Basic,30 Days
37611,2023-12-28,28,December,2023,42,Adults (35-64),F,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Blue",15,13,35,325,195,520,Extra Large,White,Steel,Lifetime,Manufacturer D,4,4.98,4,4,True,43.12,Posti,Standard,Premium,7 Days
37612,2023-01-20,20,January,2023,42,Adults (35-64),F,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Blue",15,13,35,325,195,520,Small,White,Aluminum,Lifetime,Manufacturer D,2,4.35,2,6,True,91.02,GLS,Express,Premium,No Return
37615,2023-03-15,15,March,2023,42,Adults (35-64),F,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Blue",9,13,35,195,117,312,Extra Large,Red,Plastic,1 Year,Manufacturer A,3,4.15,5,12,True,66.98,FedEx,Same Day,Premium,30 Days
